country,date,state,city,station,latitude,longitude,pollutant id,pollutant min,pollutant max,pollutant avg
India,31-05-2026,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",26.15,87.45,NO2,11,16,13
India,31-05-2026,Bihar,Gaya,"Collectorate, Gaya - BSPCB",24.8,85,OZONE,27,29,28
India,31-05-2026,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",24.76,84.98,NO2,17,25,21
India,31-05-2026,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",25.7,85.25,OZONE,18,131,55
India,31-05-2026,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",25.56,87.55,NO2,9,10,9
India,31-05-2026,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",26.09,87.94,PM10,49,120,90
India,31-05-2026,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",26.09,87.94,OZONE,32,34,33
India,31-05-2026,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",26.63,84.9,PM10,0,0,0
India,31-05-2026,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",26.63,84.9,NH3,3,3,3
India,31-05-2026,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",21.22,81.63,PM10,8,147,43
India,31-05-2026,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",21.24,81.71,SO2,4,83,26
India,31-05-2026,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",22.07,83.34,NH3,0,0,0
India,31-05-2026,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",28.65,77.32,NO2,0,0,0
India,31-05-2026,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",16.52,80.52,CO,3,52,30
India,31-05-2026,Andhra Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",14.68,77.59,NH3,3,5,4
India,31-05-2026,Andhra Pradesh,Eluru,"District Court, Eluru - APPCB",16.71,81.09,PM10,48,68,54
India,31-05-2026,Andhra Pradesh,Eluru,"District Court, Eluru - APPCB",16.71,81.09,CO,2,26,10
India,31-05-2026,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",23.04,72.46,NH3,1,3,2
India,31-05-2026,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",23.02,72.52,PM2.5,39,300,77
India,31-05-2026,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",23.02,72.52,PM10,44,232,90
India,31-05-2026,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",23.02,72.52,NH3,4,4,4
India,31-05-2026,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",23.08,72.63,NH3,1,2,1
India,31-05-2026,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",21.61,73.01,PM10,39,89,64
India,31-05-2026,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",21.61,73.01,OZONE,14,33,23
India,31-05-2026,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro",21.76,72.14,PM2.5,17,111,70
India,31-05-2026,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro",21.76,72.14,PM10,40,85,64
India,31-05-2026,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro",21.76,72.14,NH3,3,4,4
India,31-05-2026,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",23.16,72.68,OZONE,14,70,58
India,31-05-2026,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",23.24,72.69,NO2,6,10,8
India,31-05-2026,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",23.22,72.65,NO2,8,24,13
India,31-05-2026,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro",23.59,72.37,PM10,23,187,93
India,31-05-2026,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro",23.59,72.37,CO,68,72,68
India,31-05-2026,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",30.38,76.78,NO2,5,54,23
India,31-05-2026,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",30.38,76.78,SO2,15,80,26
India,31-05-2026,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",30.38,76.78,OZONE,17,31,29
India,31-05-2026,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",28.67,76.93,CO,46,51,48
India,31-05-2026,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",28.34,77.32,SO2,12,13,12
India,31-05-2026,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",28.34,77.32,CO,48,52,50
India,31-05-2026,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB",28.81,76.14,NH3,8,10,9
India,31-05-2026,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",28.59,76.27,OZONE,12,40,27
India,31-05-2026,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB",28.21,76.8,OZONE,10,72,36
India,31-05-2026,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",28.39,77.3,PM2.5,96,373,205
India,31-05-2026,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",28.39,77.3,CO,22,27,25
India,31-05-2026,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",28.44,77.32,SO2,6,6,6
India,31-05-2026,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",28.44,77.32,CO,21,65,63
India,31-05-2026,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",29.5,75.47,PM10,107,128,115
India,31-05-2026,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",29.5,75.47,NH3,13,15,14
India,31-05-2026,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",29.5,75.47,SO2,8,53,22
India,31-05-2026,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",28.42,77.07,PM2.5,44,328,96
India,31-05-2026,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",28.42,77.07,OZONE,10,45,41
India,31-05-2026,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",28.45,77.03,NO2,9,45,26
India,31-05-2026,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",28.45,77.03,SO2,3,8,5
India,31-05-2026,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB",29.14,75.74,NO2,48,51,50
India,31-05-2026,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB",29.14,75.74,NH3,6,6,6
India,31-05-2026,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB",29.14,75.74,SO2,6,22,9
