AQI_ID,Location_ID,country,date,state,city,station,latitude,longitude,pollutant id,pollutant min,pollutant max,pollutant avg
A128,L45,India,31-05-2026,Andhra Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",14.68,77.59,PM2.5,61,66,66
A129,L8,India,31-05-2026,Delhi,Delhi,"Bawana, Delhi - DPCC",28.78,77.05,NO2,6,25,13
A130,L8,India,31-05-2026,Delhi,Delhi,"Bawana, Delhi - DPCC",28.78,77.05,CO,34,50,45
A131,L8,India,31-05-2026,Delhi,Delhi,"Bawana, Delhi - DPCC",28.78,77.05,OZONE,13,40,22
A132,L8,India,31-05-2026,Delhi,Delhi,"Burari Crossing, Delhi - IITM",28.73,77.2,CO,44,109,49
A133,L8,India,31-05-2026,Delhi,Delhi,"CRRI Mathura Road, Delhi - IITM",28.55,77.27,PM10,0,0,0
A134,L8,India,31-05-2026,Delhi,Delhi,"CRRI Mathura Road, Delhi - IITM",28.55,77.27,CO,11,43,21
A135,L8,India,31-05-2026,Delhi,Delhi,"Cantonment Area, Delhi - DPCC ",28.59,77.13,PM2.5,53,83,68
A136,L8,India,31-05-2026,Delhi,Delhi,"Cantonment Area, Delhi - DPCC ",28.59,77.13,NH3,1,1,1
A137,L8,India,31-05-2026,Delhi,Delhi,"Cantonment Area, Delhi - DPCC ",28.59,77.13,OZONE,11,57,30
A138,L8,India,31-05-2026,Delhi,Delhi,"DTU, Delhi - CPCB",28.75,77.11,NO2,28,53,36
A139,L8,India,31-05-2026,Delhi,Delhi,"DTU, Delhi - CPCB",28.75,77.11,CO,17,28,20
A140,L8,India,31-05-2026,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",28.5,77.26,CO,0,0,0
A141,L8,India,31-05-2026,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",28.57,77.07,NO2,16,67,37
A142,L8,India,31-05-2026,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",28.57,77.07,SO2,5,15,11
A143,L8,India,31-05-2026,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",28.57,77.07,CO,12,38,19
A144,L8,India,31-05-2026,Delhi,Delhi,"IGI Airport (T3), Delhi - IITM",28.56,77.12,OZONE,39,115,64
A145,L46,India,31-05-2026,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",23.02,72.52,SO2,3,51,10
A146,L46,India,31-05-2026,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",23.02,72.52,CO,1,34,16
A147,L46,India,31-05-2026,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",23.08,72.63,PM2.5,24,50,35
A148,L46,India,31-05-2026,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",23.08,72.63,OZONE,10,28,20
A149,L47,India,31-05-2026,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",21.61,73.01,PM2.5,33,65,48
A150,L47,India,31-05-2026,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",21.61,73.01,SO2,23,24,24
A151,L48,India,31-05-2026,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro",21.76,72.14,NO2,45,63,55
